name,url,team,pos,owner,orank,rank,owned
Scott Kazmir,http://sports.yahoo.com/mlb/players/7292,Oak,SP,D's Ballers,195,133,81%
Mike Fiers,http://sports.yahoo.com/mlb/players/9078,Mil,SP,D's Ballers,197,158,81%
Tyler Clippard,http://sports.yahoo.com/mlb/players/7970,Oak,RP,FA,198,161,80%
Jose Fernandez,http://sports.yahoo.com/mlb/players/9323,Mia,SP,FA,199,229,86%
Zack Wheeler,http://sports.yahoo.com/mlb/players/9124,NYM,SP,Dugo's Way,204,230,85%
Addison Reed,http://sports.yahoo.com/mlb/players/9053,Ari,RP,Daddy W,206,239,82%
Jake McGee,http://sports.yahoo.com/mlb/players/8176,TB,RP,The Alliance,207,103,76%
Jake Odorizzi,http://sports.yahoo.com/mlb/players/9310,TB,SP,FA,208,275,76%
Matt Cain,http://sports.yahoo.com/mlb/players/7495,SF,SP,FA,209,574,77%
Brandon McCarthy,http://sports.yahoo.com/mlb/players/7484,LAD,SP,A-Rods Dope Supplier,211,332,74%
Ervin Santana,http://sports.yahoo.com/mlb/players/7547,Min,SP,Dugo's Way,212,259,74%
Neftali Feliz,http://sports.yahoo.com/mlb/players/8405,Tex,RP,The Alliance,213,276,80%
Sean Doolittle,http://sports.yahoo.com/mlb/players/8641,Oak,RP,JeRsEy FU's,214,121,79%
Luke Gregerson,http://sports.yahoo.com/mlb/players/8443,Hou,RP,FA,215,192,73%
Collin McHugh,http://sports.yahoo.com/mlb/players/9275,Hou,SP,Dugo's Way,219,68,79%
John Lackey,http://sports.yahoo.com/mlb/players/6953,StL,SP,FA,222,235,77%
Tanner Roark,http://sports.yahoo.com/mlb/players/9484,Was,SP,JeRsEy FU's,226,75,76%
Rick Porcello,http://sports.yahoo.com/mlb/players/8419,Bos,SP,Slow Rollers,230,183,80%
Kyle Lohse,http://sports.yahoo.com/mlb/players/6751,Mil,SP,FA,231,162,70%
Matt Shoemaker,http://sports.yahoo.com/mlb/players/9534,LAA,SP/RP,FA,233,85,85%
Michael Pineda,http://sports.yahoo.com/mlb/players/8759,NYY,SP,A-Rods Dope Supplier,234,159,79%
Jenrry Mejia,http://sports.yahoo.com/mlb/players/8667,NYM,SP/RP,Dugo's Way,235,240,76%
Danny Salazar,http://sports.yahoo.com/mlb/players/9456,Cle,SP,BeAsT mOdE,237,454,64%
Chris Tillman,http://sports.yahoo.com/mlb/players/8411,Bal,SP,A-Rods Dope Supplier,241,176,74%
Wily Peralta,http://sports.yahoo.com/mlb/players/9019,Mil,SP,Slow Rollers,242,185,73%
Mike Minor,http://sports.yahoo.com/mlb/players/8781,Atl,SP,D's Ballers,248,902,54%
Shelby Miller,http://sports.yahoo.com/mlb/players/8871,Atl,SP,Team autodraft IV,249,323,68%
Yovani Gallardo,http://sports.yahoo.com/mlb/players/7926,Tex,SP,Rain On 'Em,251,313,59%
Matt Garza,http://sports.yahoo.com/mlb/players/7823,Mil,SP,Rain On 'Em,252,256,55%
James Paxton,http://sports.yahoo.com/mlb/players/9331,Sea,SP,JeRsEy FU's,253,296,63%
Jonathan Broxton,http://sports.yahoo.com/mlb/players/7613,Mil,RP,FA,254,219,59%
Wei-Yin Chen,http://sports.yahoo.com/mlb/players/9093,Bal,SP,Rain On 'Em,255,172,57%
LaTroy Hawkins,http://sports.yahoo.com/mlb/players/5336,Col,RP,D's Ballers,256,247,62%
