name,url,team,pos,owner,orank,rank,owned
Juan Francisco,http://sports.yahoo.com/mlb/players/8598,TB,1B/3B,FA,1072,573,0%
Jordan Schafer,http://sports.yahoo.com/mlb/players/8188,Min,OF,FA,1073,740,0%
John Jaso,http://sports.yahoo.com/mlb/players/8368,TB,C,FA,1074,495,1%
Josh Willingham,http://sports.yahoo.com/mlb/players/7373,KC,OF,FA,1077,538,0%
Welington Castillo,http://sports.yahoo.com/mlb/players/8784,ChC,C,FA,1078,789,1%
Justin Ruggiano,http://sports.yahoo.com/mlb/players/8145,Sea,OF,FA,1090,822,0%
Jonny Gomes,http://sports.yahoo.com/mlb/players/7245,Atl,OF,FA,1092,921,1%
Robbie Grossman,http://sports.yahoo.com/mlb/players/9378,Hou,OF,FA,1096,693,0%
Josh Rutledge,http://sports.yahoo.com/mlb/players/9237,LAA,2B/3B/SS,FA,1100,653,0%
Marwin Gonzalez,http://sports.yahoo.com/mlb/players/9142,Hou,2B/3B/SS,FA,1105,830,1%
Brandon Barnes,http://sports.yahoo.com/mlb/players/9263,Col,OF,FA,1107,725,0%
Jonathan Schoop,http://sports.yahoo.com/mlb/players/9104,Bal,2B/3B,Slow Rollers,1108,677,5%
Anthony Gose,http://sports.yahoo.com/mlb/players/9120,Det,OF,A-Rods Dope Supplier,1112,935,15%
Alexi Amarista,http://sports.yahoo.com/mlb/players/8914,SD,2B/3B/SS/OF,FA,1114,667,1%
Craig Gentry,http://sports.yahoo.com/mlb/players/8574,Oak,OF,FA,1116,785,0%
Sean Rodriguez,http://sports.yahoo.com/mlb/players/8224,Pit,1B/2B/3B/OF,FA,1117,813,1%
