fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
5397,Jorge De Leon,pit,De Leon,Jorge,6607,De Leon,Jorge,9485,De Leon,Jorge,,RP,,501529
5401,Brad Peacock,pit,Peacock,Brad,7543,Peacock,Brad,9039,Peacock,Brad,HOU,SP,PEACOCK19880202A,502748
5408,Jake Smolinski,bat,Smolinski,Jake,,,,9760,Smolinski,Jake,,OF,SMOLINSKI19890209A,519295
5409,Pablo Sandoval,bat,Sandoval,Pablo,4425,Sandoval,Pablo,8326,Sandoval,Pablo,SF,3B,SANDOVAL19860811A,467055
5411,Alex Liddi,bat,Liddi,Alex,6536,Liddi,Alex,9065,Liddi,Alex,SEA,1B/3B,,499926
5417,Jose Altuve,bat,Altuve,Jose,7531,Altuve,Jose,8996,Altuve,Jose,HOU,2B,ALTUVE19900506A,514888
5420,Pedro Baez,pit,Baez,Pedro,,,,9695,Baez,Pedro,,RP,BAEZ19880311A,520980
5422,Steve Lombardozzi,bat,Lombardozzi,Steve,6869,Lombardozzi,Steve,9038,Lombardozzi,Steve,WAS,2B,LOMBARDOZ19880920A,543459
5424,Freddy Dolsi,pit,Dolsi,Freddy,,,,,,,,,,451767
5432,Elian Herrera,bat,Herrera,Elian,6358,Herrera,Elian,9184,Herrera,Elian,LAD,3B/SS/OF,HERRERA19850201A,467070
5436,Amauri Sanit,pit,Sanit,Amauri,,,,,,,,,,490313
5439,Matt DeSalvo,pit,DeSalvo,Matt,,,,,,,,,,451774
5440,Chia-Jen Lo,pit,Lo,Chia-Jen,6037,Lo,Chia-Jen,8636,Lo,Chia-Jen,HOU,RP,,547568
5448,Jesse Chavez,pit,Chavez,Jesse,882,Chavez,Jesse,8334,Chavez,Jesse,OAK,SP/RP,CHAVEZ19830821A,445926
5450,Daniel Nava,bat,Nava,Daniel,6125,Nava,Daniel,8742,Nava,Daniel,BOS,1B/OF,NAVA19830222A,537953
5462,Bryan LaHair,bat,LaHair,Bryan,,,,,,,,,,445933
5476,Brandon Laird,bat,Laird,Brandon,6382,Laird,Brandon,8992,Laird,Brandon,,1B/3B,,477186
5481,Jimmy Paredes,bat,Paredes,Jimmy,6059,Paredes,Jimmy,9005,Paredes,Jimmy,HOU,3B,PAREDES19881125A,517370
5485,Jose Pirela,bat,Pirela,Jose,,,,9843,Pirela,Jose,,2B,PIRELA19891121A,517369
5486,Abraham Almonte,bat,Almonte,Abraham,7436,Almonte,Abraham,9506,Almonte,Abraham,,OF,ALMONTE19890627A,501659
