Y1,Y2,R
H,LOB%,-0.13
H,FIP,0.17
H,GB/FB,0.18
H,LD%,0.18
H,GB%,0.18
H,FB%,-0.25
H,IFFB%,-0.18
H,HR/FB,0.13
H,IFH%,-0.07
H,BUH%,0.04
H,RAR,-0.05
H,WAR,-0.06
H,tERA,0.25
H,xFIP,0.13
H,WPA,-0.13
H,RE24,-0.11
H,REW,-0.11
H,pLI,-0.05
H,inLI,-0.08
H,gmLI,-0.05
H,exLI,-0.01
H,Pulls,-0.06
H,WPA/LI,-0.14
H,Clutch,0.02
H,FA%,-0.25
H,SL%,-0.09
H,CT%,0.1
H,CB%,-0.06
H,CH%,0.12
H,SF%,-0.07
H,PO%,0.04
H,wFB,-0.19
H,wSL,-0.13
H,wCT,0.03
H,wCB,0.02
H,wCH,-0.05
H,wSF,-0.02
H,O-Swing%,-0.13
H,Z-Swing%,0
H,Swing%,0.01
H,O-Contact%,0.17
H,Z-Contact%,0.37
H,Contact%,0.38
H,Zone%,0.16
H,F-Strike%,0.14
H,SwStr%,-0.33
H,ERA-,0.09
H,FIP-,0.11
H,xFIP-,0.07
H,K%,-0.41
H,BB%,-0.36
H,SIERA,0.21
H,RS/9,0.06
H,E-F,0
R,W,-0.1
R,L,0.13
R,ERA,0.31
R,G,0.03
R,GS,0.03
R,CG,-0.1
R,ShO,-0.12
R,IP,-0.09
R,TBF,0
R,H,0.31
R,R,0.32
R,ER,0.33
R,HR,0.21
R,BB,-0.05
R,IBB,0.07
R,HBP,0.04
R,WP,-0.06
R,BK,0
R,SO,-0.38
R,GB,0.16
R,FB,0.06
R,LD,0.29
R,IFFB,-0.03
R,Balls,-0.04
R,Strikes,-0.17
R,Pitches,-0.13
R,RS,0.05
R,IFH,0.06
R,BU,0.03
R,BUH,0.04
R,K/9,-0.41
R,BB/9,-0.02
R,K/BB,-0.23
R,H/9,0.36
R,HR/9,0.22
R,AVG,0.37
R,WHIP,0.31
R,BABIP,0.13
R,LOB%,-0.2
R,FIP,0.37
R,GB/FB,0.08
R,LD%,0.16
R,GB%,0.04
R,FB%,-0.1
R,IFFB%,-0.07
R,HR/FB,0.21
R,IFH%,-0.03
R,BUH%,0.01
R,RAR,-0.24
R,WAR,-0.26
R,tERA,0.42
R,xFIP,0.33
R,WPA,-0.24
R,RE24,-0.23
R,REW,-0.24
R,pLI,-0.05
R,inLI,-0.09
R,gmLI,0.03
R,exLI,0.04
R,Pulls,0.09
R,WPA/LI,-0.27
R,Clutch,0.06
R,FA%,-0.1
R,SL%,-0.03
R,CT%,-0.16
R,CB%,-0.09
R,CH%,0.08
R,SF%,-0.04
R,PO%,-0.06
R,wFB,-0.3
R,wSL,-0.14
R,wCT,-0.19
R,wCB,-0.01
R,wCH,-0.09
R,wSF,0
R,O-Swing%,-0.33
R,Z-Swing%,0.01
R,Swing%,-0.17
R,O-Contact%,0.08
R,Z-Contact%,0.33
R,Contact%,0.35
R,Zone%,0.15
R,F-Strike%,-0.07
R,SwStr%,-0.35
R,ERA-,0.24
R,FIP-,0.29
R,xFIP-,0.27
R,K%,-0.42
R,BB%,-0.05
R,SIERA,0.36
R,RS/9,0.1
R,E-F,-0.01
ER,W,-0.11
ER,L,0.12
ER,ERA,0.31
ER,G,-0.01
ER,GS,-0.01
ER,CG,-0.11
ER,ShO,-0.13
ER,IP,-0.13
ER,TBF,-0.05
ER,H,0.26
ER,R,0.29
ER,ER,0.31
ER,HR,0.19
ER,BB,-0.05
ER,IBB,0.07
ER,HBP,0.04
ER,WP,-0.08
ER,BK,0.01
ER,SO,-0.38
ER,GB,0.09
ER,FB,0.1
ER,LD,0.26
ER,IFFB,0.01
ER,Balls,-0.05
ER,Strikes,-0.19
ER,Pitches,-0.15
ER,RS,0.03
ER,IFH,0
ER,BU,0.02
ER,BUH,0.03
ER,K/9,-0.39
ER,BB/9,0
ER,K/BB,-0.22
ER,H/9,0.34
ER,HR/9,0.22
ER,AVG,0.35
ER,WHIP,0.29
ER,BABIP,0.11
ER,LOB%,-0.19
ER,FIP,0.36
ER,GB/FB,0
ER,LD%,0.16
ER,GB%,-0.02
ER,FB%,-0.03
ER,IFFB%,-0.05
ER,HR/FB,0.15
ER,IFH%,-0.05
ER,BUH%,0.02
ER,RAR,-0.25
ER,WAR,-0.27
ER,tERA,0.4
ER,xFIP,0.35
ER,WPA,-0.25
ER,RE24,-0.24
ER,REW,-0.24
ER,pLI,-0.05
ER,inLI,-0.1
ER,gmLI,0.02
ER,exLI,0.03
ER,Pulls,0.06
ER,WPA/LI,-0.27
ER,Clutch,0.04
ER,FA%,-0.03
ER,SL%,-0.03
ER,CT%,-0.14
ER,CB%,-0.09
ER,CH%,0.08
ER,SF%,-0.07
ER,PO%,-0.09
ER,wFB,-0.28
ER,wSL,-0.14
ER,wCT,-0.18
ER,wCB,-0.02
ER,wCH,-0.09
ER,wSF,-0.01
ER,O-Swing%,-0.33
ER,Z-Swing%,0.02
ER,Swing%,-0.16
ER,O-Contact%,0.09
ER,Z-Contact%,0.3
ER,Contact%,0.35
ER,Zone%,0.14
ER,F-Strike%,-0.08
ER,SwStr%,-0.34
ER,ERA-,0.25
ER,FIP-,0.28
ER,xFIP-,0.29
ER,K%,-0.4
ER,BB%,-0.04
ER,SIERA,0.37
ER,RS/9,0.1
ER,E-F,0.01
HR,W,-0.08
HR,L,0.1
HR,ERA,0.26
HR,G,0
HR,GS,0
HR,CG,-0.08
HR,ShO,-0.09
HR,IP,-0.07
HR,TBF,-0.03
HR,H,0.17
HR,R,0.24
HR,ER,0.28
HR,HR,0.41
HR,BB,-0.19
HR,IBB,-0.07
HR,HBP,-0.02
HR,WP,-0.1
HR,BK,-0.03
HR,SO,-0.21
HR,GB,-0.16
HR,FB,0.36
HR,LD,0.19
HR,IFFB,0.29
HR,Balls,-0.15
HR,Strikes,-0.06
HR,Pitches,-0.11
HR,RS,0.05
HR,IFH,-0.13
HR,BU,-0.05
HR,BUH,0
HR,K/9,-0.21
HR,BB/9,-0.16
HR,K/BB,-0.01
HR,H/9,0.22
HR,HR/9,0.41
HR,AVG,0.2
HR,WHIP,0.1
HR,BABIP,-0.03
HR,LOB%,-0.09
HR,FIP,0.32
HR,GB/FB,-0.27
HR,LD%,0.12
HR,GB%,-0.31
HR,FB%,0.28
HR,IFFB%,0.18
HR,HR/FB,0.18
HR,IFH%,-0.05
HR,BUH%,0
HR,RAR,-0.21
HR,WAR,-0.23
HR,tERA,0.3
HR,xFIP,0.27
HR,WPA,-0.17
HR,RE24,-0.17
HR,REW,-0.17
HR,pLI,-0.18
HR,inLI,-0.09
HR,gmLI,0
HR,exLI,-0.02
HR,Pulls,0.06
HR,WPA/LI,-0.21
HR,Clutch,0.08
HR,FA%,0.28
HR,SL%,0.08
HR,CT%,-0.14
HR,CB%,-0.08
HR,CH%,0.16
HR,SF%,0.1
HR,PO%,-0.16
HR,wFB,-0.23
HR,wSL,-0.09
HR,wCT,-0.12
HR,wCB,-0.06
HR,wCH,0.01
HR,wSF,0.15
HR,O-Swing%,-0.2
HR,Z-Swing%,0.19
HR,Swing%,0.13
HR,O-Contact%,0.01
HR,Z-Contact%,0.06
HR,Contact%,0.16
HR,Zone%,0.26
HR,F-Strike%,0.09
HR,SwStr%,-0.09
HR,ERA-,0.2
HR,FIP-,0.26
HR,xFIP-,0.22
HR,K%,-0.21
HR,BB%,-0.18
HR,SIERA,0.25
HR,RS/9,0.09
HR,E-F,-0.02
BB,W,0.01
BB,L,0
BB,ERA,-0.05
BB,G,0.11
BB,GS,0.11
BB,CG,-0.19
BB,ShO,-0.11
BB,IP,0.02
BB,TBF,0.08
BB,H,-0.23
BB,R,-0.03
BB,ER,-0.04
BB,HR,-0.17
BB,BB,0.65
BB,IBB,0.14
BB,HBP,0.14
BB,WP,0.33
BB,BK,0.09
BB,SO,0.15
BB,GB,-0.09
BB,FB,-0.09
BB,LD,-0.2
