name,fg_id,fans_g,fans_pa,fans_ab,fans_b1,fans_b2,fans_b3,fans_hr,fans_r,fans_rbi,fans_sb,fans_cs,zips_g,zips_pa,zips_ab,zips_b1,zips_b2,zips_b3,zips_hr,zips_r,zips_rbi,zips_sb,zips_cs,stmr_g,stmr_pa,stmr_ab,stmr_b1,stmr_b2,stmr_b3,stmr_hr,stmr_r,stmr_rbi,stmr_sb,stmr_cs,cair_g,cair_pa,cair_ab,cair_b1,cair_b2,cair_b3,cair_hr,cair_r,cair_rbi,cair_sb,cair_cs,f411_g,f411_pa,f411_ab,f411_b1,f411_b2,f411_b3,f411_hr,f411_r,f411_rbi,f411_sb,f411_cs,real_g,real_pa,real_ab,real_b1,real_b2,real_b3,real_hr,real_r,real_rbi,real_sb,real_cs
Eric Hinske,1305,,,,,,,,,,,,0.480392157,204,0.897058824,0.117647059,0.049019608,0.004901961,0.034313725,0.098039216,0.132352941,0,0,,100,0.88,0.12,0.05,0.01,0.03,0.1,0.11,0,0,0.415101358,268.85,0.888406128,0.12678905,0.05327222,0.004653914,0.031407925,0.101721649,0.117344554,0.00443538,0.002464114,0.549213511,196.4020632,0.89065087,0.123772386,0.04951421,0.003762805,0.029808251,0.097681186,0.109983023,0.001778215,0.001053665,0.896551724,58,0.896551724,0.086206897,0.051724138,0,0.017241379,0.034482759,0.103448276,0,0
Orlando Hudson,1307,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.16,0.04,0.01,0.01,0.1,0.09,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Lopez,1311,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.15,0.05,0,0.02,0.1,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Wells,1326,0.251612903,310,0.922580645,0.15483871,0.032258065,0.003225806,0.032258065,0.1,0.106451613,0.006451613,0.003225806,0.25389755,449,0.935412027,0.144766147,0.04454343,0.004454343,0.037861915,0.118040089,0.115812918,0.0155902,0.006681514,,171,0.918128655,0.134502924,0.046783626,0.005847953,0.040935673,0.111111111,0.128654971,0.011695906,0.005847953,0.251293916,429.6727107,0.926850812,0.131211686,0.043139333,0.003348651,0.036514869,0.119406598,0.123536811,0.014523529,0.005943732,0.30113679,358.6123745,0.92852271,0.135166932,0.045216198,0.004287769,0.040207604,0.119768805,0.12915114,0.013619263,0.0066162,0.283842795,458,0.925764192,0.15720524,0.034934498,0,0.024017467,0.098253275,0.109170306,0.015283843,0.006550218
Jayson Werth,1327,0.230894309,615,0.855284553,0.14796748,0.055284553,0.003252033,0.030894309,0.13495935,0.159349593,0.022764228,0.003252033,0.235528942,501,0.866267465,0.137724551,0.047904192,0.003992016,0.02994012,0.121756487,0.105788423,0.021956088,0.003992016,,561,0.857397504,0.140819964,0.048128342,0.003565062,0.03030303,0.126559715,0.112299465,0.016042781,0.007130125,0.235368636,556.9985976,0.862895105,0.143562855,0.052045978,0.003612465,0.031250171,0.128919734,0.109787574,0.02094439,0.004959576,0.234855677,550.8347427,0.863909555,0.143298919,0.050022976,0.003693816,0.029937527,0.126228078,0.111137623,0.022341727,0.005559739,0.242481203,532,0.868421053,0.184210526,0.045112782,0,0.046992481,0.157894737,0.154135338,0.018796992,0.001879699
Chris Woodward,1329,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.16,0.05,0,0.01,0.09,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Stairs,1384,,,,,,,,,,,,,,,,,,,,,,,,100,0.88,0.14,0.04,0,0.02,0.1,0.1,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Cora,1386,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.15,0.04,0.01,0.01,0.08,0.08,0.01,0.01,0.329786918,282.9332734,0.899696856,0.155312563,0.037551945,0.003687791,0.009068668,0.092813774,0.08257174,0.018632035,0.004961632,,,,,,,,,,,,,,,,,,,,,,
Mark DeRosa,1392,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.16,0.04,0,0.02,0.11,0.1,0.02,0.01,0.303417113,183.5859697,0.891755067,0.153191057,0.040532126,0.001313948,0.017844986,0.11374589,0.105327663,0.008720519,0.00537247,0.342323941,145.6268653,0.875110862,0.152197161,0.038690987,0.001217615,0.011395639,0.110627038,0.060883044,0.009099424,0.006853435,0.372881356,236,0.86440678,0.118644068,0.050847458,0.004237288,0.029661017,0.097457627,0.152542373,0,0
Jason Michaels,1399,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.14,0.05,0,0.02,0.1,0.1,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
