"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Alex Gonzalez","Devil Rays","32","89","139","139","38","36","2","0","0","0","7","0","0","13","0","0","139","0","0","0","14","0","0","153","325","478","47.5 %","38.1 %","14.4 %","15.9 %","66.7 %","17.4 %","281"
"Craig Wilson","Pirates","28","41","56","56","14","10","4","0","0","0","2","0","0","6","0","0","56","0","0","0","2","0","0","63","130","193","71.4 %","23.2 %","5.4 %","17.9 %","67.9 %","14.3 %","1015"
"Jermaine Dye","White Sox","31","102","165","165","44","39","5","0","0","0","16","0","0","15","0","0","165","0","0","0","6","0","0","191","421","612","64.2 %","27.9 %","7.9 %","18.8 %","57.6 %","23.6 %","911"
"Mike Restovich","- - -","26","30","41","41","11","10","1","0","0","0","0","0","0","5","0","0","41","0","0","0","4","0","0","43","86","129","56.1 %","29.3 %","14.6 %","9.8 %","65.9 %","24.4 %","751"
"J.D. Drew","Dodgers","29","57","95","95","26","25","1","0","0","0","7","0","0","3","0","0","95","0","0","0","9","0","0","95","196","291","71.6 %","20.0 %","8.4 %","24.2 %","52.6 %","23.2 %","1152"
"Khalil Greene","Padres","25","82","116","116","31","28","3","0","0","0","6","0","0","8","0","0","116","0","0","0","7","0","0","124","290","414","69.0 %","20.7 %","10.3 %","16.4 %","60.3 %","23.3 %","1826"
"Brian McCann","Braves","21","39","65","65","18","18","0","0","0","0","5","0","0","5","0","0","65","0","0","0","1","0","0","67","141","208","73.9 %","21.5 %","4.6 %","15.4 %","64.6 %","20.0 %","4810"
"Wiki Gonzalez","Mariners","31","12","21","21","5","3","2","0","0","0","0","0","0","1","0","0","21","0","0","0","1","0","0","21","45","66","33.3 %","23.8 %","42.9 %","19.1 %","71.4 %","9.5 %","1033"
"Randy Winn","- - -","31","140","259","259","68","59","9","0","0","0","13","0","0","11","0","0","259","0","0","0","16","0","0","270","575","845","52.1 %","27.8 %","20.1 %","17.8 %","60.2 %","22.0 %","1235"
"Dallas McPherson","Angels","24","36","50","50","13","11","2","0","0","0","2","0","0","5","0","0","50","0","0","0","2","0","0","44","114","158","66.0 %","24.0 %","10.0 %","20.0 %","60.0 %","20.0 %","2194"
"Bill Hall","Brewers","25","100","164","164","44","41","3","0","0","0","17","0","0","11","0","0","164","0","0","0","12","0","0","199","401","600","43.3 %","38.4 %","18.3 %","12.8 %","62.2 %","25.0 %","1605"
"Rondell White","Tigers","33","87","180","180","48","44","4","0","0","0","17","0","0","8","0","0","180","0","0","0","13","0","0","188","392","580","62.8 %","28.9 %","8.3 %","16.7 %","58.3 %","25.0 %","856"
"Carl Crawford","Devil Rays","23","134","249","249","67","63","4","0","0","0","14","0","0","11","0","0","249","0","0","0","17","0","0","207","547","754","55.8 %","28.5 %","15.7 %","16.5 %","64.3 %","19.3 %","1201"
"Carlos Delgado","Marlins","33","107","162","162","43","40","2","1","0","0","13","0","0","16","0","0","162","0","0","0","7","0","0","169","341","510","67.3 %","22.2 %","10.5 %","11.7 %","59.9 %","28.4 %","1297"
"Rickie Weeks","Brewers","22","80","128","128","34","31","3","0","0","0","10","0","0","11","0","0","128","0","0","0","13","0","0","178","332","510","60.2 %","25.8 %","14.1 %","18.0 %","57.0 %","25.0 %","1849"
"Tony Graffanino","- - -","33","88","163","163","44","42","2","0","0","0","11","0","0","14","0","0","163","0","0","0","15","0","0","170","374","544","51.5 %","32.5 %","16.0 %","14.7 %","71.2 %","14.1 %","235"
"Brady Clark","Brewers","32","123","196","196","51","44","7","0","0","0","9","0","0","13","0","0","196","0","0","0","11","0","0","204","446","650","60.7 %","25.0 %","14.3 %","12.8 %","67.4 %","19.9 %","1398"
"Moises Alou","Giants","38","99","161","161","43","40","3","0","0","0","6","0","0","11","0","0","161","0","0","0","17","0","0","165","281","446","68.3 %","22.4 %","9.3 %","16.2 %","59.6 %","24.2 %","261"
"Reggie Sanders","Cardinals","37","54","78","78","21","20","1","0","0","0","9","0","0","8","0","0","78","0","0","0","6","0","0","82","155","237","64.1 %","23.1 %","12.8 %","10.3 %","60.3 %","29.5 %","1129"
"Morgan Ensberg","Astros","29","101","154","154","41","38","3","0","0","0","9","0","0","12","0","0","154","0","0","0","13","0","0","185","352","537","68.8 %","26.6 %","4.6 %","18.2 %","58.4 %","23.4 %","556"
