"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Parker Bridwell","Orioles","0","0","5.49","0","0","0","1.0","1","1","0","1","1","1.65","5.80","5.40","5.64","0.0","0.0","sa548445"
"Steven Farinaro","Cardinals","0","0","5.54","0","0","0","1.0","1","1","0","0","1","1.69","4.29","5.12","5.64","0.0","0.0","sa737934"
"Tyler Mahle","Reds","0","0","5.47","0","0","0","1.0","1","1","0","1","1","1.64","5.03","4.89","5.65","0.0","0.0","sa737914"
"Yorman Landa","Twins","0","0","5.87","0","1","0","1.0","1","1","0","1","1","1.81","6.18","6.84","5.65","0.0","-0.1","sa597276"
"Hector Galvan"," ","0","0","5.66","0","0","0","1.0","1","1","0","1","1","1.67","4.66","4.92","5.65","0.0","0.0","sa737570"
"Bennett Parry","Orioles","0","0","5.50","0","0","0","1.0","1","1","0","1","1","1.68","5.49","5.71","5.65","0.0","0.0","sa599520"
"Pedro Damian","Reds","0","0","5.56","0","0","0","1.0","1","1","0","1","1","1.70","6.12","6.02","5.65","0.0","0.0","sa597060"
"Dedgar Jimenez"," ","0","0","5.71","0","0","0","1.0","1","1","0","1","1","1.70","4.53","5.26","5.65","0.0","0.0","sa736925"
"Ramon Santos","Cardinals","0","0","5.59","0","0","0","1.0","1","1","0","1","1","1.73","4.94","5.81","5.65","0.0","0.0","sa657843"
"Robert Stock","Cardinals","0","0","5.58","0","1","0","1.0","1","1","0","1","1","1.79","5.99","6.97","5.65","0.0","-0.1","sa500827"
"Darwin Ramos","Mets","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.71","4.98","5.39","5.65","0.0","0.0","sa737380"
"Yeims Mendoza","Marlins","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.80","5.51","6.73","5.65","0.0","-0.1","sa547823"
"Enderson Franco","Rays","0","0","5.58","0","0","0","1.0","1","1","0","0","0","1.64","3.97","4.40","5.65","0.0","0.0","sa547840"
"Brett Mooneyham","Nationals","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.78","5.77","6.65","5.65","0.0","0.0","sa455313"
"Nick Lomascolo","Cardinals","0","0","5.65","0","1","0","1.0","1","1","0","1","1","1.84","6.49","7.85","5.65","0.0","-0.1","sa738940"
"Alex Powers","White Sox","0","0","5.75","0","1","0","1.0","1","1","0","1","1","1.74","6.14","6.16","5.66","0.0","0.0","sa621533"
"Matt Dermody","Blue Jays","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.67","4.62","4.79","5.66","0.0","0.0","sa502297"
"Martires Arias","Mets","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.74","5.43","5.92","5.66","0.0","0.0","sa506939"
"Montreal Robertson","Tigers","0","0","5.64","0","1","0","1.0","1","1","0","1","1","1.69","4.73","5.18","5.66","0.0","-0.1","sa598657"
"Nicolas Debora","Mets","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.71","5.08","5.47","5.66","0.0","0.0","sa688946"
"Yacksel Rios","Phillies","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.69","5.03","5.16","5.66","0.0","0.0","sa599007"
"Abraham Rivera"," ","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.75","5.35","6.15","5.66","0.0","0.0","sa737371"
"Wilson Santos","Padres","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.81","5.89","6.85","5.66","0.0","-0.1","sa657788"
"Jake Cose","White Sox","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.68","5.57","5.17","5.66","0.0","0.0","sa599358"
"Erick Leal","Cubs","0","0","5.72","0","0","0","1.0","1","1","0","0","1","1.69","4.45","4.97","5.66","0.0","0.0","sa657825"
"Trent Daniel","Rockies","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.81","6.17","6.68","5.66","0.0","0.0","sa599255"
"Antonio Senzatela","Rockies","0","0","5.76","0","0","0","1.0","1","1","0","0","0","1.65","4.35","4.02","5.66","0.0","0.0","sa657576"
"Harrison Cooney","Angels","0","0","5.72","0","0","0","1.0","1","1","0","0","1","1.68","4.40","4.93","5.66","0.0","0.0","sa550830"
"Randall Fant","Astros","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.71","4.97","5.33","5.67","0.0","0.0","sa502092"
"Luis Gonzalez","Orioles","0","0","5.52","0","0","0","1.0","1","1","0","1","1","1.66","5.04","5.23","5.67","0.0","0.0","sa550522"
"Junior Mendez","Athletics","0","0","5.58","0","0","0","1.0","1","1","0","0","0","1.65","3.89","4.45","5.67","0.0","0.0","sa738197"
"Michael Kelly","Padres","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.77","5.58","6.19","5.67","0.0","0.0","sa597767"
"Juri Perez","Astros","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.76","6.11","6.36","5.67","0.0","-0.1","sa504070"
"Will Changarotty","Cardinals","0","0","5.60","0","0","0","1.0","1","1","0","1","1","1.73","4.82","5.74","5.67","0.0","0.0","sa737567"
"Stuart Pudenz","Athletics","0","0","5.60","0","1","0","1.0","1","1","0","1","1","1.77","5.61","6.54","5.67","0.0","-0.1","sa658237"
"Carlos Melo","Indians","0","0","5.83","0","1","0","1.0","1","1","0","1","1","1.80","6.56","7.01","5.67","0.0","-0.1","sa503957"
"Tanner Bushue","Astros","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.68","5.11","5.02","5.67","0.0","0.0","sa500829"
"Alex Black","Royals","0","0","5.47","0","1","0","1.0","1","1","0","1","1","1.75","5.47","6.38","5.67","0.0","-0.1","sa738465"
"Jesen Dygestile-Therrien","Phillies","0","0","5.75","0","1","0","1.0","1","1","0","1","1","1.74","5.63","6.02","5.67","0.0","-0.1","sa549979"
"David Speer","Indians","0","0","5.83","0","1","0","1.0","1","1","0","1","1","1.79","5.61","6.54","5.67","0.0","-0.1","sa827385"
"Robbie Aviles","Indians","0","0","5.74","0","0","0","1.0","1","1","0","0","0","1.64","3.94","4.03","5.68","0.0","0.0","sa548357"
"Arjenis Fernandez","Angels","0","0","5.70","0","0","0","1.0","1","1","0","0","0","1.65","3.70","4.32","5.68","0.0","0.0","sa657112"
"Yoan Gonzalez","Mets","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.74","4.97","5.78","5.68","0.0","0.0","sa657921"
"Jacob Smigelski","Marlins","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.76","4.51","5.82","5.68","0.0","0.0","sa738976"
"Jose Rosario"," ","0","0","5.69","0","0","0","1.0","1","1","0","0","1","1.68","4.44","4.85","5.68","0.0","0.0","sa597431"
"Adrian Houser","Astros","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.66","4.94","4.74","5.68","0.0","0.0","sa597779"
"Cale Coshow","Yankees","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.68","5.72","5.63","5.68","0.0","-0.1","sa738313"
"Felix Jorge","Twins","0","0","5.90","0","0","0","1.0","1","1","0","0","1","1.72","4.43","4.96","5.68","0.0","0.0","sa597424"
"Daniel Gonzalez"," ","0","0","5.70","0","0","0","1.0","1","1","0","1","1","1.68","4.56","4.96","5.68","0.0","0.0","sa737056"
"Tyler Linehan","Brewers","0","0","5.78","0","1","0","1.0","1","1","0","1","1","1.82","6.42","7.16","5.68","0.0","-0.1","sa549132"
"Angel Gavidia","Braves","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.75","5.15","5.86","5.69","0.0","0.0","sa736826"
"Nolan Gannon","Rays","0","0","5.64","0","0","0","1.0","1","1","0","0","1","1.67","4.35","4.87","5.69","0.0","0.0","sa658000"
"Omar Basulto"," ","0","0","5.75","0","0","0","1.0","1","1","0","0","1","1.71","4.44","5.28","5.69","0.0","0.0","sa604599"
"Victor Gonzalez","Dodgers","0","0","5.63","0","0","0","1.0","1","1","0","1","1","1.71","4.73","5.69","5.69","0.0","0.0","sa739644"
"Edgar De La Rosa","Tigers","0","0","5.73","0","0","0","1.0","1","1","0","0","0","1.64","4.23","4.32","5.69","0.0","0.0","sa506734"
"James Hudelson","White Sox","0","0","5.82","0","1","0","1.0","1","1","0","1","1","1.73","5.98","5.96","5.69","0.0","0.0","sa658659"
"Colton Turner","Blue Jays","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.70","4.86","5.13","5.69","0.0","0.0","sa658600"
"Jhon Morban","Yankees","0","0","5.51","0","0","0","1.0","1","1","0","1","1","1.62","5.05","4.70","5.69","0.0","0.0","sa737239"
"Victor Delgado"," ","0","0","5.70","0","0","0","1.0","1","1","0","0","1","1.67","4.25","4.64","5.69","0.0","0.0","sa735870"
"Joseph Burns","Rangers","0","0","5.74","0","1","0","1.0","1","1","0","1","1","1.77","5.52","6.26","5.69","0.0","0.0","sa658671"
"Sam Wilson","Cubs","0","0","5.84","0","1","0","1.0","1","1","0","1","1","1.85","6.76","7.84","5.70","0.0","-0.1","sa549475"
"Alejandro Flores"," ","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.69","4.58","5.00","5.70","0.0","0.0","sa601619"
"Dylan Stamey","Rockies","0","0","5.80","0","1","0","1.0","1","1","0","1","1","1.79","6.25","6.47","5.70","0.0","0.0","sa737948"
"Pedro Payano"," ","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.68","4.51","4.92","5.70","0.0","0.0","sa658997"
"Frederis Parra","Cardinals","0","0","5.61","0","0","0","1.0","1","1","0","1","1","1.72","4.53","5.52","5.70","0.0","0.0","sa657275"
"Alfred Gutierrez"," ","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.70","4.77","5.27","5.70","0.0","0.0","sa656043"
"Blake Mcmullen","Athletics","0","0","5.61","0","1","0","1.0","1","1","0","1","1","1.76","5.18","6.25","5.70","0.0","-0.1","sa738593"
"Brent Powers","Athletics","0","0","5.67","0","0","0","1.0","1","1","0","0","1","1.73","4.42","5.60","5.70","0.0","0.0","sa598322"
"Starlyn Suriel","Blue Jays","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.66","4.76","4.59","5.70","0.0","0.0","sa829880"
"Ramon Rodriguez","Mets","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.71","4.81","5.35","5.70","0.0","0.0","sa657755"
"Derek Varnadore","Yankees","0","0","5.48","0","1","0","1.0","1","1","0","1","1","1.65","5.26","5.18","5.70","0.0","-0.1","sa598908"
"Yomar Morel","Cubs","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.80","5.80","6.75","5.70","0.0","-0.1","sa597176"
"William Lamarche","Tigers","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.77","6.06","6.64","5.71","0.0","-0.1","sa658316"
"Tyler Bolton","Diamondbacks","0","0","5.64","0","0","0","1.0","1","1","0","1","1","1.68","4.51","4.97","5.71","0.0","0.0","sa829642"
"Jorge Ortega","Brewers","0","0","5.71","0","0","0","1.0","1","1","0","0","0","1.66","4.22","4.33","5.71","0.0","0.0","sa597019"
"Ariel Jurado"," ","0","0","5.73","0","1","0","1.0","1","1","0","1","1","1.73","5.13","5.76","5.71","0.0","-0.1","sa737364"
"Cory Bostjancic","Padres","0","0","5.93","0","1","0","1.0","1","1","0","1","1","1.83","6.14","7.19","5.71","0.0","-0.1","sa658256"
"James Bourque","Nationals","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.73","4.55","5.38","5.71","0.0","0.0","sa829330"
"Eric Semmelhack","Brewers","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.69","4.64","4.84","5.71","0.0","0.0","sa658200"
"Javier Avendano","Blue Jays","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.70","5.35","5.28","5.71","0.0","0.0","sa504718"
"German Taveras","Red Sox","0","0","5.69","0","1","0","1.0","1","1","0","1","1","1.78","5.48","6.39","5.71","0.0","0.0","sa599887"
"Felipe Perez","Diamondbacks","0","0","5.63","0","0","0","1.0","1","1","0","0","1","1.67","4.28","4.77","5.71","0.0","0.0","sa739563"
"Oscar Perez","Red Sox","0","0","5.65","0","1","0","1.0","1","1","0","1","1","1.75","4.85","5.78","5.71","0.0","0.0","sa506222"
"Jaime Barria","Angels","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.72","4.55","5.37","5.71","0.0","0.0","sa737379"
"Derek Thompson","Rangers","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.71","4.83","5.28","5.71","0.0","0.0","sa602492"
"Santo Perez","Rangers","0","0","5.73","0","1","0","1.0","1","1","0","1","1","1.73","5.48","5.75","5.72","0.0","0.0","sa548027"
"Kelvin Vasquez","Rangers","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.72","5.54","5.58","5.72","0.0","0.0","sa602917"
"Yimauri Pena","Royals","0","0","5.48","0","0","0","1.0","1","1","0","0","1","1.65","3.98","4.64","5.72","0.0","0.0","sa657903"
"Juan Guzman","Orioles","0","0","5.51","0","0","0","1.0","1","1","0","1","1","1.62","4.75","4.55","5.72","0.0","0.0","sa550657"
"Jeff Thompson","Tigers","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.69","4.85","5.16","5.72","0.0","0.0","sa707780"
"Sean Brady","Indians","0","0","5.89","0","0","0","1.0","1","1","0","0","1","1.72","4.24","5.13","5.72","0.0","0.0","sa737808"
"Sean Hagan","White Sox","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.74","5.41","5.87","5.72","0.0","0.0","sa621635"
"Adonis Uceta","Mets","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.73","4.82","5.47","5.72","0.0","0.0","sa737486"
"Jordan Guth","Phillies","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.73","5.30","5.73","5.72","0.0","0.0","sa658142"
"Pedro Araujo"," ","0","0","5.76","0","1","0","1.0","1","1","0","1","1","1.76","5.47","6.19","5.72","0.0","-0.1","sa597206"
"Ricardo Rodriguez","Rangers","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.67","4.56","4.64","5.72","0.0","0.0","sa597435"
"Bernardo Reyes","Dodgers","0","0","5.63","0","0","0","1.0","1","1","0","1","1","1.72","5.05","5.76","5.72","0.0","0.0","sa739830"
"Cristian Alvarado"," ","0","0","5.74","0","0","0","1.0","1","1","0","1","1","1.71","4.85","5.34","5.73","0.0","0.0","sa657885"
"Ty Buttrey","Red Sox","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.72","4.74","5.36","5.73","0.0","0.0","sa657997"
"Raudy Guzman"," ","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.70","4.68","5.19","5.73","0.0","0.0","sa657762"
"Angel Ventura","Brewers","0","0","5.78","0","0","0","1.0","1","1","0","1","1","1.72","5.27","5.54","5.73","0.0","0.0","sa597505"
"Silvio Medina","Nationals","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.83","6.15","7.27","5.73","0.0","-0.1","sa548039"
"Mario Sanchez","Nationals","0","0","5.74","0","1","0","1.0","1","1","0","1","1","1.82","5.63","6.84","5.73","0.0","-0.1","sa691863"
"Alex Phillips","Tigers","0","0","5.83","0","0","0","1.0","1","1","0","0","1","1.69","4.25","5.00","5.73","0.0","0.0","sa658606"
"Zach Morton","Astros","0","0","5.82","0","1","0","1.0","1","1","0","0","0","1.65","4.23","4.29","5.73","0.0","-0.1","sa738509"
"Angel Duno"," ","0","0","5.74","0","0","0","1.0","1","1","0","0","1","1.67","4.20","4.68","5.73","0.0","0.0","sa657211"
"Roberth Fernandez","Dodgers","0","0","5.66","0","0","0","1.0","1","1","0","1","1","1.72","4.66","5.72","5.73","0.0","0.0","sa737221"
"Joel Cabrera"," ","0","0","5.72","0","0","0","1.0","1","1","0","0","1","1.67","4.01","4.51","5.73","0.0","0.0","sa740305"
"Jose Paulino"," ","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.74","4.94","5.85","5.73","0.0","0.0","sa657308"
"James Stokes","Indians","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.79","5.99","6.62","5.73","0.0","-0.1","sa579537"
"Merandy Gonzalez","Mets","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.73","4.84","5.47","5.73","0.0","0.0","sa737381"
"Ranfi Casimiro","Phillies","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.69","4.70","4.97","5.73","0.0","0.0","sa603017"
"Brad Goldberg","White Sox","0","0","5.87","0","1","0","1.0","1","1","0","1","1","1.73","5.86","5.85","5.74","0.0","0.0","sa579754"
"Matthew Lane","White Sox","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.70","5.10","5.30","5.74","0.0","0.0","sa598261"
"Joshua Burris","Twins","0","0","5.98","0","1","0","1.0","1","1","0","1","1","1.81","5.57","6.45","5.74","0.0","-0.1","sa598919"
"Abraham Espinosa","Braves","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.83","5.86","6.98","5.74","0.0","-0.1","sa550596"
"Benjamin Wells","Cubs","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.74","5.18","5.83","5.74","0.0","0.0","sa548384"
"Julio Vivas"," ","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.79","5.81","6.72","5.74","0.0","-0.1","sa596284"
"Ariel Gracia","Rays","0","0","5.73","0","0","0","1.0","1","1","0","0","1","1.71","4.14","5.32","5.74","0.0","0.0","sa657629"
"Luis Niebla","Yankees","0","0","5.51","0","0","0","1.0","1","1","0","0","0","1.59","4.25","3.97","5.74","0.0","0.0","sa542987"
"Anfernee Benitez","Diamondbacks","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.75","5.09","6.07","5.74","0.0","0.0","sa657700"
"Dewen Perez","Cardinals","0","0","5.71","0","0","0","1.0","1","1","0","1","1","1.77","4.70","6.24","5.74","0.0","0.0","sa657711"
"Hector Rodriguez","Dodgers","0","0","5.63","0","0","0","1.0","1","1","0","1","1","1.69","4.60","5.29","5.74","0.0","0.0","sa737448"
"Dillon Maples","Cubs","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.77","5.82","6.44","5.75","0.0","0.0","sa599130"
"Ayron Adames","Marlins","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.81","5.12","6.64","5.75","0.0","0.0","sa737345"
"Jesus Zambrano"," ","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.71","4.62","5.21","5.75","0.0","0.0","sa737066"
"Matthew Hobgood","Orioles","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.68","5.19","5.47","5.75","0.0","-0.1","sa500594"
"Dailyn Martinez","Cardinals","0","0","5.64","0","0","0","1.0","1","1","0","0","1","1.72","4.17","5.32","5.75","0.0","0.0","sa658075"
"Osiris Ramirez","Dodgers","0","0","5.64","0","0","0","1.0","1","1","0","1","1","1.70","4.58","5.30","5.75","0.0","0.0","sa743855"
"Eudis Hidrogo"," ","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.73","4.51","5.52","5.75","0.0","0.0","sa656048"
"Daniel Gomez"," ","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.71","4.53","5.15","5.75","0.0","0.0","sa737063"
"Joe Lovecchio","Blue Jays","0","0","5.78","0","1","0","1.0","1","1","0","1","1","1.76","5.71","6.12","5.75","0.0","-0.1","sa739665"
"Kevin Walter","Phillies","0","0","5.82","0","1","0","1.0","1","1","0","1","1","1.73","5.09","5.59","5.75","0.0","-0.1","sa549483"
"Mark Armstrong","Reds","0","0","5.58","0","0","0","1.0","1","1","0","1","1","1.67","5.00","5.14","5.75","0.0","0.0","sa737689"
"Carlos Indriago"," ","0","0","5.76","0","0","0","1.0","1","1","0","0","1","1.69","4.27","4.86","5.75","0.0","0.0","sa735847"
"Sebastian Vader","Orioles","0","0","5.52","0","0","0","1.0","1","1","0","0","0","1.60","4.20","4.13","5.75","0.0","0.0","sa549374"
"Cole Wiper","Rangers","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.72","5.22","5.39","5.75","0.0","0.0","sa599160"
"Michael Santos"," ","0","0","5.78","0","0","0","1.0","1","1","0","1","1","1.71","4.58","5.21","5.76","0.0","0.0","sa736667"
"Carlos Navas"," ","0","0","5.77","0","0","0","1.0","1","1","0","0","1","1.70","4.36","4.97","5.76","0.0","0.0","sa550615"
"David Ledbetter","Rangers","0","0","5.79","0","0","0","1.0","1","1","0","0","0","1.66","4.35","4.42","5.76","0.0","0.0","sa737643"
"Ernesto Montas"," ","0","0","5.75","0","0","0","1.0","1","1","0","0","1","1.68","4.03","4.63","5.76","0.0","0.0","sa737253"
"J.D. Underwood","Dodgers","0","0","5.66","0","0","0","1.0","1","1","0","1","1","1.70","4.76","5.48","5.76","0.0","0.0","sa738317"
"Elniery Garcia","Phillies","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.77","5.30","6.18","5.76","0.0","0.0","sa684104"
"Andrew Brown","Rockies","0","0","5.83","0","0","0","1.0","1","1","0","0","0","1.69","4.42","4.42","5.76","0.0","0.0","sa658559"
"Mark Blackmar","Orioles","0","0","5.51","0","0","0","1.0","1","1","0","0","0","1.59","4.00","3.89","5.76","0.0","0.0","sa549945"
"Logan Norris","Rockies","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.77","5.52","5.88","5.76","0.0","0.0","sa621025"
"Fernando Baez","Cardinals","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.79","5.57","6.76","5.76","0.0","0.0","sa550675"
"John Neely","Astros","0","0","5.89","0","1","0","1.0","1","1","0","1","1","1.78","5.90","6.41","5.76","0.0","-0.1","sa658799"
"Michael Suarez","Mariners","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.73","4.69","5.71","5.76","0.0","0.0","sa735869"
"Sandy Baez"," ","0","0","5.79","0","0","0","1.0","1","1","0","0","1","1.70","4.49","5.11","5.76","0.0","0.0","sa657709"
"Delvi Francisco","Phillies","0","0","5.93","0","1","0","1.0","1","1","0","1","1","1.82","6.54","7.26","5.76","0.0","-0.1","sa547825"
"Sam Stafford","Rangers","0","0","5.88","0","1","0","1.0","1","1","0","1","1","1.84","6.56","7.47","5.76","0.0","0.0","sa597805"
"Oscar Armenta","Rays","0","0","5.77","0","0","0","1.0","1","1","0","0","1","1.72","4.13","5.37","5.77","0.0","0.0","sa597263"
"Yapson Gomez"," ","0","0","5.83","0","0","0","1.0","1","1","0","0","1","1.72","4.04","5.16","5.77","0.0","0.0","sa737676"
"Victor Diaz","Brewers","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.74","5.36","5.76","5.77","0.0","0.0","sa659749"
"Jonathan Vargas","Rockies","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.76","4.84","5.45","5.77","0.0","0.0","sa503650"
"Omarlin Lopez"," ","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.73","4.79","5.50","5.77","0.0","0.0","sa737481"
"Luis Parra","Rangers","0","0","5.88","0","0","0","1.0","1","1","0","0","1","1.70","4.28","4.92","5.77","0.0","0.0","sa506040"
"Francisco Jimenez"," ","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.72","4.71","5.38","5.77","0.0","0.0","sa659658"
"Kevin Comer","Astros","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.69","4.75","4.90","5.77","0.0","0.0","sa597802"
"Ronald Guedez","Mets","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.73","4.79","5.51","5.77","0.0","0.0","sa737485"
"Jency Solis","Diamondbacks","0","0","5.70","0","1","0","1.0","1","1","0","1","1","1.78","5.58","6.53","5.77","0.0","-0.1","sa550724"
"Juan Martinez","Reds","0","0","5.64","0","0","0","1.0","1","1","0","1","1","1.73","5.45","6.12","5.77","0.0","0.0","sa657740"
"Cesar Ogando","Royals","0","0","5.58","0","1","0","1.0","1","1","0","1","1","1.78","5.24","6.68","5.77","0.0","-0.1","sa597969"
"Tucker Donahue","Blue Jays","0","0","5.80","0","1","0","1.0","1","1","0","1","1","1.77","5.87","6.28","5.77","0.0","-0.1","sa602538"
"Brandon Brennan","White Sox","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.67","4.88","4.77","5.77","0.0","0.0","sa550121"
"Daryl Norris","Tigers","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.71","4.67","5.28","5.77","0.0","-0.1","sa550292"
"Dallas Newton","Diamondbacks","0","0","5.71","0","0","0","1.0","1","1","0","1","1","1.70","4.53","5.20","5.77","0.0","0.0","sa738609"
"Alberto Baldonado","Mets","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.78","5.13","6.21","5.78","0.0","0.0","sa550649"
"Thyago Vieira","Mariners","0","0","5.73","0","1","0","1.0","1","1","0","1","1","1.76","5.59","6.38","5.78","0.0","-0.1","sa596366"
"Wilmer Aquino"," ","0","0","5.83","0","1","0","1.0","1","1","0","1","1","1.83","5.90","7.22","5.78","0.0","-0.1","sa552646"
"Oscar De La Cruz"," ","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.72","4.62","5.30","5.78","0.0","0.0","sa737037"
"Walker Weickel","Padres","0","0","5.97","0","0","0","1.0","1","1","0","0","1","1.73","4.32","5.22","5.78","0.0","0.0","sa657871"
"Alexander Constanza","Padres","0","0","6.06","0","0","0","1.0","1","1","0","1","1","1.81","4.95","6.46","5.78","0.0","0.0","sa608119"
"Trevor Clifton","Cubs","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.78","5.34","6.23","5.78","0.0","0.0","sa737901"
"Christian Powell","Twins","0","0","6.01","0","1","0","1.0","1","1","0","1","1","1.85","5.74","6.91","5.78","0.0","-0.1","sa503725"
"Junior Arias","Reds","0","0","5.62","0","0","0","1.0","1","1","0","1","1","1.68","5.21","5.42","5.78","0.0","0.0","sa659230"
"Tyler Brosius","Braves","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.78","4.98","5.99","5.78","0.0","0.0","sa738719"
"Jonatan Isenia"," ","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.73","4.86","5.52","5.78","0.0","0.0","sa657606"
"Henry Centeno","Rays","0","0","5.73","0","0","0","1.0","1","1","0","0","1","1.70","4.39","5.15","5.78","0.0","0.0","sa596373"
"Dylan Rheault","Orioles","0","0","5.54","0","1","0","1.0","1","1","0","1","1","1.70","5.33","5.72","5.78","0.0","-0.1","sa738309"
"Rafael Moreno"," ","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.72","4.53","5.25","5.78","0.0","0.0","sa657786"
"Eduar Lopez","Angels","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.78","5.33","6.34","5.78","0.0","0.0","sa657123"
"Daniel Missaki","Mariners","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.70","4.71","5.32","5.79","0.0","0.0","sa741947"
"Hector Perez"," ","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.83","6.16","7.22","5.79","0.0","-0.1","sa598181"
"Corey Ray","Royals","0","0","5.57","0","0","0","1.0","1","1","0","0","1","1.68","4.07","5.00","5.79","0.0","0.0","sa829315"
"Tyler Vail","Athletics","0","0","5.67","0","1","0","1.0","1","1","0","1","1","1.75","4.63","5.89","5.79","0.0","-0.1","sa549653"
"Richelson Pena","Rangers","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.69","4.56","4.78","5.79","0.0","0.0","sa597847"
"Trey Ball","Red Sox","0","0","5.82","0","0","0","1.0","1","1","0","0","1","1.73","4.18","5.29","5.79","0.0","0.0","sa737438"
"Ryan Borucki","Blue Jays","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.72","4.84","5.35","5.79","0.0","0.0","sa658266"
"Luis Gomez","Indians","0","0","5.99","0","1","0","1.0","1","1","0","1","1","1.87","6.43","7.70","5.79","0.0","-0.1","sa657753"
"Jorge Oviedo","Rockies","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.76","4.85","5.41","5.79","0.0","0.0","sa828515"
