"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Daisuke Matsuzaka","Mets","0","0","4.11","0","1","0","1.0","1","0","0","1","0","1.33","8.38","3.74","4.11","0.0","0.1","7775"
"Austin Hyatt","Phillies","0","0","4.21","0","0","0","1.0","1","0","0","1","0","1.32","7.29","2.88","4.11","0.0","0.0","sa501768"
"Deunte Heath","White Sox","0","0","4.17","0","1","0","1.0","1","0","0","1","0","1.37","8.64","4.02","4.11","0.0","0.0","7371"
"Jesus Pirela"," ","0","0","4.14","0","1","0","1.0","1","0","0","1","1","1.42","8.67","4.72","4.11","0.0","0.1","sa504880"
"Michael Nix","Padres","0","0","4.23","0","1","0","1.0","1","0","0","1","0","1.36","6.90","3.12","4.11","0.0","-0.1","sa291773"
"Zak Hermans","Cubs","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.40","8.08","4.26","4.12","0.0","-0.1","sa738429"
"Frank Gailey","Athletics","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.35","7.02","3.42","4.12","0.0","0.1","sa389206"
"Maikel Cleto","White Sox","1","1","4.17","0","20","0","20.0","17","9","2","22","11","1.41","9.79","5.00","4.12","0.1","0.0","5529"
"Anthony Bass","Astros","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.34","6.77","2.76","4.12","0.0","-0.1","7982"
"Kevin Mccoy","Mariners","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.38","8.17","4.20","4.12","0.0","0.1","sa188706"
"Austin Fleet","Giants","0","0","4.14","0","0","0","1.0","1","0","0","1","0","1.35","6.61","3.19","4.12","0.0","0.0","sa549259"
"Jason Stoffel","Astros","0","0","4.17","0","1","0","1.0","1","0","0","1","0","1.38","8.04","3.81","4.12","0.0","-0.1","sa501226"
"Rob Bryson","Indians","0","0","4.21","0","1","0","1.0","1","0","0","1","1","1.42","8.56","4.50","4.12","0.0","-0.1","sa393057"
